series	season	episode	title	stardate	air date
TNG	5	14	Conundrum	45494.2	1992-02-17
TNG	5	15	Power Play	45571.2	1992-02-24
TNG	5	16	Ethics	45587.3	1992-03-02
TNG	5	17	The Outcast	45614.6	1992-03-16
TNG	5	18	Cause and Effect	45652.1	1992-03-23
TNG	5	19	The First Duty	45703.9	1992-03-30
TNG	5	20	Cost of Living	45733.6	1992-04-20
TNG	5	21	The Perfect Mate	45761.3	1992-04-27
TNG	5	22	Imaginary Friend	45852.1	1992-05-04
TNG	5	23	I Borg	45854.2	1992-05-11
TNG	5	24	The Next Phase	45092.4	1992-05-18
TNG	5	25	The Inner Light	45944.1	1992-06-01
TNG	5	26	Time's Arrow: Part One	45959.1	1992-06-15
TNG	6	1	Time's Arrow: Part Two	46001.3	1992-09-21
TNG	6	2	Realm of Fear	46041.1	1992-09-28
TNG	6	3	Man of the People	46071.6	1992-10-05
TNG	6	4	Relics	46125.3	1992-10-12
TNG	6	5	Schisms	46154.2	1992-10-19
TNG	6	6	True Q	46192.3	1992-10-26
TNG	6	7	Rascals	46235.7	1992-11-02
TNG	6	8	A Fistful of Datas	46271.5	1992-11-09
TNG	6	9	The Quality of Life	46307.2	1992-11-16
TNG	6	10	Chain of Command: Part One	46357.4	1992-12-14
TNG	6	11	Chain of Command: Part Two	46360.8	1992-12-21
DS9	1	1	Emissary, Part I	46379.1	1993-01-03
DS9	1	2	Emissary, Part II	46392.7	1993-01-03
DS9	1	3	Past Prologue	Unknown	1993-01-10
DS9	1	4	A Man Alone	46421.5	1993-01-17
DS9	1	5	Babel	46423.7	1993-01-24
TNG	6	12	Ship in a Bottle	46424.1	1993-01-25
DS9	1	6	Captive Pursuit	Unknown	1993-01-31
TNG	6	13	Aquiel	46461.3	1993-02-01
DS9	1	7	Q-Less	46531.2	1993-02-07
TNG	6	14	Face of the Enemy	46519.1	1993-02-08
DS9	1	8	Dax	46910.1	1993-02-14
TNG	6	15	Tapestry	Unknown	1993-02-15
DS9	1	9	The Passenger	Unknown	1993-02-21
TNG	6	16	Birthright: Part One	46578.4	1993-02-22
TNG	6	17	Birthright: Part Two	46759.2	1993-03-01
DS9	1	10	Move Along Home	Unknown	1993-03-14
DS9	1	11	The Nagus	Unknown	1993-03-21
TNG	6	18	Starship Mine	46682.4	1993-03-29
TNG	6	19	Lessons	46693.1	1993-04-05
DS9	1	12	Vortex	Unknown	1993-04-18
DS9	1	13	Battle Lines	Unknown	1993-04-25
TNG	6	20	The Chase	46731.5	1993-04-26
DS9	1	14	The Storyteller	46729.1	1993-05-02
TNG	6	21	Frame of Mind	46778.1	1993-05-03
DS9	1	15	Progress	46844.3	1993-05-09
TNG	6	22	Suspicions	46830.1	1993-05-10
DS9	1	16	If Wishes Were Horses	46853.2	1993-05-16
TNG	6	23	Rightful Heir	46852.2	1993-05-17
DS9	1	17	The Forsaken	46925.1	1993-05-23
TNG	6	24	Second Chances	46915.2	1993-05-24
DS9	1	18	Dramatis Personae	46922.3	1993-05-30
DS9	1	19	Duet	Unknown	1993-06-13
TNG	6	25	Timescape	46944.2	1993-06-14
DS9	1	20	In the Hands of the Prophets	Unknown	1993-06-20
TNG	6	26	Descent: Part One	46982.1	1993-06-21
TNG	7	1	Descent: Part Two	47025.4	1993-09-20
DS9	2	1	The Homecoming (Part 1)	Unknown	1993-09-26
TNG	7	2	Liaisons	Unknown	1993-09-27
DS9	2	2	The Circle (Part 2)	Unknown	1993-10-03
TNG	7	3	Interface	47215.5	1993-10-04
DS9	2	3	The Siege (Part 3)	Unknown	1993-10-10
TNG	7	4	Gambit: Part One	47135.2	1993-10-11
DS9	2	4	Invasive Procedures	47182.1	1993-10-17
TNG	7	5	Gambit: Part Two	47160.1	1993-10-18
DS9	2	5	Cardassians	47177.2	1993-10-24
TNG	7	6	Phantasms	47225.7	1993-10-25
DS9	2	6	Melora	47229.1	1993-10-31
TNG	7	7	Dark Page	47254.1	1993-11-01
DS9	2	7	Rules of Acquisition	Unknown	1993-11-07
TNG	7	8	Attached	47304.2	1993-11-08
DS9	2	8	Necessary Evil	47282.5	1993-11-14
TNG	7	9	Force of Nature	47310.2	1993-11-15
DS9	2	9	Second Sight	47329.4	1993-11-21
TNG	7	10	Inheritance	47410.2	1993-11-22
DS9	2	10	Sanctuary	47391.2	1993-11-28
TNG	7	11	Parallels	47391.2	1993-11-29
DS9	2	11	Rivals	Unknown	1994-01-02
DS9	2	12	The Alternate	47391.7	1994-01-09
TNG	7	12	The Pegasus	47457.1	1994-01-10
TNG	7	13	Homeward	47423.9	1994-01-17
DS9	2	13	Armageddon Game	Unknown	1994-01-30
TNG	7	14	Sub Rosa	Unknown	1994-01-31
DS9	2	14	Whispers	47552.1	1994-02-06
TNG	7	15	Lower Decks	47566.7	1994-02-07
DS9	2	15	Paradise	47573.1	1994-02-13
TNG	7	16	Thine Own Self	47611.2	1994-02-14
DS9	2	16	Shadowplay	47603.3	1994-02-20
TNG	7	17	Masks	47615.2	1994-02-21
DS9	2	17	Playing God	Unknown	1994-02-27
TNG	7	18	Eye of the Beholder	47622.1	1994-02-28
DS9	2	18	Profit and Loss	Unknown	1994-03-20
TNG	7	19	Genesis	47653.2	1994-03-21
DS9	2	19	Blood Oath	Unknown	1994-03-27
TNG	7	20	Journey's End	47751.2	1994-03-28
DS9	2	20	The Maquis, Part I	Unknown	1994-04-24
TNG	7	21	Firstborn	47779.4	1994-04-25
DS9	2	21	The Maquis, Part II	Unknown	1994-05-01
TNG	7	22	Bloodlines	47829.1	1994-05-02
DS9	2	22	The Wire	Unknown	1994-05-08
TNG	7	23	Emergence	47869.2	1994-05-09
DS9	2	23	Crossover	Unknown	1994-05-15
TNG	7	24	Preemptive Strike	47941.7	1994-05-16
DS9	2	24	The Collaborator	Unknown	1994-05-22
TNG	7	25	All Good Things...	47988.1	1994-05-23
TNG	7	26	All Good Things...	47988.1	1994-05-23
DS9	2	25	Tribunal	47944.2	1994-06-05
DS9	2	26	The Jem'Hadar	Unknown	1994-06-12
DS9	3	1	The Search, Part I	48213.1	1994-09-26
DS9	3	2	The Search, Part II	48213.1	1994-10-03
